Herb_ChineseName	Pinyin name	Pharmacopoeial Latin name	Botanical source	Botanical authority	Standardized botanical name source	Material category	Botanical/source note	type	Nature, Flavor and Toxicity	Meridian Tropism	Traditional Actions	Traditional Indications
银杏叶	Yin Xing Ye	Ginkgo Folium	Ginkgo biloba	L.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: dried leaf; Source: Zhongyao Da Baike, URL: https://www.zhongyibaike.com/wiki/%E9%93%B6%E6%9D%8F%E5%8F%B6	phytomedicine	甘、苦、涩，平	归心，肺经	益心敛肺，化湿止泻	治胸闷心痛，心悸怔忡，痰喘咳嗽，泻痢，白带
罂粟壳	Ying Su Ke	Papaveris Pericarpium	Papaver somniferum	L.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: dried pericarp of the ripe fruit.	phytomedicine	酸、涩，平；有毒	归肺、大肠、肾经	敛肺，涩肠，止痛	用于久咳，久泻，脱肛，脘腹疼痛
鱼腥草	Yu Xing Cao	Houttuyniae Herba	Houttuynia cordata	Thunb.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: fresh or dried aerial part; ChP 2020 Vol.1, Page 480	phytomedicine	辛，微寒	归肺经	清热解毒，消痈排脓，利尿通淋	用于肺痈吐脓，痰热喘咳，热痢，热淋，痈肿疮毒
玉竹	Yu Zhu	Polygonati Odorati Rhizoma	Polygonatum odoratum	(Mill.) Druce	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried rhizome; ChP 2020 Vol.1, Page 482	phytomedicine	甘，微寒	归肺、胃经	养阴润燥，生津止渴	用于肺胃阴伤，燥热咳嗽，咽干口渴，内热消渴
郁金	Yu Jin	Curcumae Radix	Curcuma longa	L.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Multi-basal species; Medicinal part: dried tuberous root; ChP 2020 Vol.1, Page 484	phytomedicine	辛、苦，寒	归肝、心、肺经	活血止痛，行气解郁，清心凉血，利胆退黄	用于胸胁刺痛，胸痹心痛，经闭痛经，乳房胀痛，热病神昏，癫痫发狂，血热吐衄，黄疸尿赤
郁李仁	Yu Li Ren	Pruni Semen	Prunus humilis; Prunus japonica; Prunus glandulosa	Bunge; Thunb.; Thunb.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: dried ripe seed.	phytomedicine	辛、苦、甘，平	归脾、大肠、小肠经	润肠通便，下气利水	用于津枯肠燥，食积气滞，腹胀便秘，水肿，脚气，小便不利
远志	Yuan Zhi	Polygalae Radix	Polygala tenuifolia	Willd.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Multi-basal species; Medicinal part: dried root; ChP 2020 Vol.1, Page 486	phytomedicine	苦、辛，温	归心、肾、肺经	安神益智，交通心肾，祛痰，消肿	用于心肾不交引起的失眠多梦、健忘惊悸、神志恍惚，咳痰不爽，疮疡肿毒，乳房肿痛
月季花	Yue Ji Hua	Rosae Chinensis Flos	Rosa chinensis	Jacq.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E6%9C%88%E5%AD%A3%E8%8A%B1)	phytomedicine	甘，温	归肝经	活血调经，疏肝解郁	用于气滞血瘀，月经不调，痛经，闭经，胸胁胀痛
皂角刺	Zao Jiao Ci	Gleditsiae Spina	Gleditsia sinensis	Lam.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E7%9A%82%E8%A7%92%E5%88%BA)	phytomedicine	辛，温	归肝、胃经	消肿托毒，排脓，杀虫	用于痈疽初起或脓成不溃；外治疥癣麻风
泽兰	Ze Lan	Lycopi Herba	Lycopus lucidus var. hirtus	Turcz. var. hirtus Regel	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: dried aerial part.	phytomedicine	苦、辛，微温	归肝、脾经	活血调经，祛瘀消痈，利水消肿	用于月经不调，经闭，痛经，产后瘀血腹痛，疮痈肿毒，水肿腹水
泽泻	Ze Xie	Alismatis Rhizoma	Alisma plantago-aquatica subsp. Orientale	(Sam.) Sam.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried tuber; ChP 2020 Vol.1, Page 490	phytomedicine	甘、淡，寒	归肾、膀胱经	利水渗湿，泄热，化浊降脂	用于小便不利，水肿胀满，泄泻尿少，痰饮眩晕，热淋涩痛，高脂血症
浙贝母	Zhe Bei Mu	Fritillariae Thunbergii Bulbus	Fritillaria thunbergii	Miq.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried bulb; ChP 2020 Vol.1, Page 492	phytomedicine	苦，寒	归肺、心经	清热化痰止咳，解毒散结消痈	用于风热咳嗽，痰火咳嗽，肺痈，乳痈，瘰疬，疮毒
珍珠	Zhen Zhu	Margarita	Pinctada martensii; Pinctada maxima; Hyriopsis cumingii	(Dunker); (Jameson et Garth); (Lea)	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E7%8F%8D%E7%8F%A0)	Animal Medicines	甘、咸，寒	归心、肝经	安神定惊，明目消翳，解毒生肌，润肤祛斑	用于惊悸失眠，惊风癫痫，目赤翳障，疮疡不敛，皮肤色斑
知母	Zhi Mu	Anemarrhenae Rhizoma	Anemarrhena asphodeloides	Bge.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried rhizome; ChP 2020 Vol.1, Page 494	phytomedicine	苦、甘，寒	归肺、胃、肾经	清热泻火，滋阴润燥	用于外感热病，高热烦渴，肺热燥咳，骨蒸潮热，内热消渴，肠燥便秘
枳壳	Zhi Ke	Aurantii Fructus	Citrus aurantium	L	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried unripe fruit; ChP 2020 Vol.1, Page 498	phytomedicine	苦、辛、酸，微寒	归脾、胃经	理气宽中，行滞消胀	用于胸胁气滞，胀满疼痛，食积不化，痰饮内停，脏器下垂
枳实	Zhi Shi	Aurantii Fructus Immaturus	Citrus aurantium	L	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Multi-basal species; Medicinal part: dried young fruit; ChP 2020 Vol.1, Page 500	phytomedicine	苦、辛、酸，微寒	归脾、胃经	破气消积，化痰散痞	用于积滞内停，痞满胀痛，泻痢后重，大便不通，痰滞气阻，胸痹，结胸，脏器下垂
制半夏	Zhi Ban Xia	Pinelliae Rhizoma Praeparatum	Pinellia ternata	(Thunb.) Breit.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Processed herbal piece derived from 半夏; Toxic medicinal material; Medicinal part: dried tuber; ChP 2020 Vol.1, Page 42	phytomedicine	辛，温，有毒	归脾，胃，肺经	燥湿化痰，降逆止呕，消痞散结	用于痰多咳喘、痰饮眩悸、内痰眩晕、呕吐反胃、胸脘痞闷、梅核气症；生用外治痈肿痰核，姜半夏多用于降逆止呕
制陈皮	Zhi Chen Pi	Citri Reticulatae Pericarpium	Citrus reticulata	Blanco	Zhongyao Da Baike	plant-derived medicine	Medicinal part: dried pericarp; stored for ≥3 years; collected in autumn	phytomedicine	苦、辛，温	归肺、脾经	理气健脾，燥湿化痰	用于脘腹胀满，食少吐泻，咳嗽痰多
制南星	Zhi Nan Xing	Arisaematis Rhizoma Praeparatum	Arisaema heterophyllum	Blume	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Processed herbal piece derived from 天南星; Multi-basal species; Toxic medicinal material; Medicinal part: dried tuber; ChP 2020 Vol.1, Page 424	phytomedicine	苦，辛，温，有毒	归肺经、肝经、脾经	燥湿化痰，祛风止痉，散结消肿	用于顽痰咳嗽，风痰眩晕，中风痰壅，口眼歪斜，半身不遂，癫痫，惊风，破伤风，生用外治痈肿，蛇虫咬伤
炙百部	Zhi Bai Bu	Stemonae Radix Praeparata cum Melle	Stemona sessilifolia; Stemona japonica; Stemona tuberosa	(Miq.) Miq.; (Blume) Miq.; Lour.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine (processed product)	Processed herbal piece derived from 百部; Multi-basal species; Medicinal part: dried tuberous root; ChP 2020 Vol.1, Page 32	phytomedicine	甘，苦，微温	归肺经	温润肺气，止咳，杀虫	治风寒咳嗽，百日咳，肺结核，老年咳喘，蛔虫、蛲虫病，皮肤疥癣、湿疹
炙甘草	Zhi Gan Cao	Glycyrrhizae Radix et Rhizoma Praeparata cum Melle	Glycyrrhiza uralensis	Fisch	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Processed herbal piece derived from 甘草; Multi-basal species; Medicinal part: dried root and rhizome; ChP 2020 Vol.1, Page 100	phytomedicine	甘，平	入脾经、胃经、肺经	和中缓急，润肺，解毒，调和诸药	炙用，治脾胃虚弱，食少，腹痛便溏，劳倦发热，肺痿咳嗽，心悸，惊痫；生用，治咽喉肿痛，消化性溃疡，痈疽疮疡，解药毒及食物中毒
炙麻黄	Zhi Ma Huang	Ephedrae Herba Praeparata cum Melle	Ephedra sinica	Stapf	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Processed herbal piece derived from 麻黄; Multi-basal species; Medicinal part: dried herbaceous stem; ChP 2020 Vol.1, Page 340	phytomedicine	辛、微苦，温	归肺经、膀胱经	发汗，平喘，利水	治伤寒表实，发热恶寒无汗、头痛鼻塞、骨节疼痛；咳嗽气喘；风水浮肿，小便不利；风邪顽痹，皮肤不仁，风疹瘙痒
钟乳石	Zhong Ru Shi	Stalactitum	Calcite aggregate	Not applicable (mineral)	Chinese Pharmacopoeia 2020 Edition (Volume I)	mineral-derived medicine	Mineral-derived medicinal material; no botanical authority is applicable.	Mineral Medicine	甘，温	归肺、肾、胃经	温肺，助阳，平喘，制酸，通乳	用于寒痰咳喘，阳虚冷喘，腰膝冷痛，胃痛泛酸，乳汁不通
重楼	Zhong Lou	Paridis Rhizoma	Paris polyphylla var. chinensis; Paris polyphylla var. yunnanensis	Smith var. chinensis (Franch.) Hara; Smith var. yunnanensis (Franch.) Hand.-Mazz.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E9%87%8D%E6%A5%BC)	phytomedicine	苦，寒，有小毒	归肝经	清热解毒，平喘止咳，熄风定惊	治痈肿，疔疮，瘰疬，喉痹，慢性气管炎，小儿惊风抽搐，蛇虫咬伤
朱砂	Zhu Sha	Cinnabaris	Not applicable (mineral)	Not applicable (mineral)	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	mineral medicine	Toxic mineral medicine; Main component: HgS; ChP 2020 Vol.1, Page 502	Mineral Medicine	甘，微寒；有毒	归心经	清心镇惊，安神，明目，解毒	用于心悸易惊，失眠多梦，癫痫发狂，小儿惊风，视物昏花，口疮，喉痹，疮疡肿毒
竹茹	Zhu Ru	Bambusae Caulis in Taeniam	Bambusa textilis; Phyllostachys nigra var. henonis	McClure; (Lodd. ex Lindl.) Munro var. henonis (Mitf.) Stapf ex Rendle	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E7%AB%B9%E8%8C%B9)	phytomedicine	甘，微寒	归肺、胃、心、胆经	清热化痰，除烦，止呕	用于痰热咳嗽，胆火挟痰，惊悸不宁，心烦失眠，中风痰迷，舌强不语，胃热呕吐，妊娠恶阻，胎动不安
紫草	Zi Cao	Arnebiae Radix	Lithospermum erythrorhizon; Arnebia euchroma; Arnebia guttata	Sieb. et Zucc.; (Royle) Johnst.; Bunge	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: dried root; Source: Zhongyao Da Baike, URL: https://www.zhongyibaike.com/wiki/%E7%B4%AB%E8%8D%89	phytomedicine	甘、咸，寒	归心、肝经	清热凉血，活血解毒，透疹消斑	用于血热毒盛，斑疹紫黑，麻疹不透，疮疡，湿疹，水火烫伤
紫花地丁	Zi Hua Di Ding	Violae Herba	Viola philippica	Cav.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: dried whole herb; Source: Zhongyao Da Baike, URL: https://www.zhongyibaike.com/wiki/%E7%B4%AB%E8%8A%B1%E5%9C%B0%E4%B8%81	phytomedicine	苦、辛，寒	归心、肝经	清热解毒，凉血消肿	用于疔疮肿毒，痈疽发背，丹毒，毒蛇咬伤
紫苏	Zi Su	Perillae Herba	Perilla frutescens	(L.) Britt.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: dried leaf; Source: Zhongyao Da Baike, URL: https://www.zhongyibaike.com/wiki/%E7%B4%AB%E8%8B%8F	phytomedicine	辛，温	归肺、脾经	降气化痰，止咳平喘，润肠通便	用于痰壅气逆，咳嗽气喘，肠燥便秘
紫苏梗	Zi Su Geng	Perillae Caulis	Perilla frutescens	(L.) Britt.	Zhongyao Da Baike	plant-derived medicine	Medicinal part: dried stem; collected after fruit ripening	phytomedicine	辛，温	归肺、脾经	理气宽中，止痛，安胎	用于胸膈痞闷，胃脘疼痛，嗳气呕吐，胎动不安
紫苏叶	Zi Su Ye	Perillae Folium	Perilla frutescens	(L.) Britt.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried leaf; ChP 2020 Vol.1, Page 506	phytomedicine	辛，温	归肺、脾经	解表散寒，行气和胃	用于风寒感冒，咳嗽呕恶，妊娠呕吐，鱼蟹中毒
紫苏子	Zi Su Zi	Perillae Fructus	Perilla frutescens	(L.) Britt.	Zhongyao Da Baike	plant-derived medicine	Medicinal part: dried ripe fruit; often stir-fried	phytomedicine	辛，温	归肺经	降气化痰，止咳平喘，润肠通便	用于痰壅气逆，咳嗽气喘，肠燥便秘
紫菀	Zi Wan	Asteris Radix et Rhizoma	Aster tataricus	L.f.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried root and rhizome; ChP 2020 Vol.1, Page 508	phytomedicine	辛、苦，温	归肺经	润肺下气，消痰止咳	用于痰多喘咳，新久咳嗽，劳嗽咳血
棕榈炭	Zong Lv Tan	Trachycarpi Petiolus Carbonisatus	Trachycarpus wagnerianus	Becc	Zhongyao Da Baike	plant-derived medicine (carbonized)	Medicinal part: carbonized petiole; processed by stir-frying to carbonize	phytomedicine	苦、涩，平	归肺经、肝经、大肠经	收敛止血	用于吐血，咯血，便血崩漏
